checkpoint,method,sector_code,sector_name,action,momentum_strong,mom_score,mom_rank,mom_percentile,eligible
2025-09-30,hybrid_return_rank_v1,1155,KOSPI200 정보기술,Strong Buy,True,0.6363636363636364,4.0,63.63636363636363,True
2025-09-30,hybrid_return_rank_v1,1168,KOSPI200 금융,Hold,False,0.18181818181818182,10.0,18.181818181818183,True
2025-09-30,hybrid_return_rank_v1,5042,KRX 산업재,Strong Buy,True,0.6363636363636364,4.0,63.63636363636363,True
2025-09-30,hybrid_return_rank_v1,5044,KRX 반도체,Strong Buy,True,0.9545454545454546,1.0,95.45454545454545,True
2025-09-30,hybrid_return_rank_v1,5045,KRX 헬스케어,Hold,False,0.22727272727272727,9.0,22.727272727272727,True
2025-09-30,hybrid_return_rank_v1,1157,KOSPI200 생활소비재,Hold,False,0.5454545454545454,6.0,54.54545454545454,True
2025-09-30,hybrid_return_rank_v1,1165,KOSPI200 경기소비재,Hold,False,0.40909090909090906,8.0,40.90909090909091,True
2025-09-30,hybrid_return_rank_v1,1170,KOSPI200 유틸리티,Strong Buy,True,0.9545454545454546,1.0,95.45454545454545,True
2025-09-30,hybrid_return_rank_v1,5046,KRX 미디어통신,Strong Buy,True,0.7727272727272727,3.0,77.27272727272727,True
2025-09-30,hybrid_return_rank_v1,5048,KRX 에너지화학,Hold,False,0.13636363636363635,11.0,13.636363636363635,True
2025-09-30,hybrid_return_rank_v1,5049,KRX 철강,Hold,False,0.5454545454545454,6.0,54.54545454545454,True
2025-10-31,legacy_rs_ma_v0,1155,KOSPI200 정보기술,Strong Buy,True,,,,True
2025-10-31,legacy_rs_ma_v0,1168,KOSPI200 금융,Hold,False,,,,True
2025-10-31,legacy_rs_ma_v0,5042,KRX 산업재,Strong Buy,True,,,,True
2025-10-31,legacy_rs_ma_v0,5044,KRX 반도체,Strong Buy,True,,,,True
2025-10-31,legacy_rs_ma_v0,5045,KRX 헬스케어,Hold,False,,,,True
2025-10-31,legacy_rs_ma_v0,1157,KOSPI200 생활소비재,Hold,False,,,,True
2025-10-31,legacy_rs_ma_v0,1165,KOSPI200 경기소비재,Strong Buy,True,,,,True
2025-10-31,legacy_rs_ma_v0,1170,KOSPI200 유틸리티,Hold,False,,,,True
2025-10-31,legacy_rs_ma_v0,5046,KRX 미디어통신,Hold,False,,,,True
2025-10-31,legacy_rs_ma_v0,5048,KRX 에너지화학,Strong Buy,True,,,,True
2025-10-31,legacy_rs_ma_v0,5049,KRX 철강,Hold,False,,,,True
2025-10-31,hybrid_return_rank_v1,1155,KOSPI200 정보기술,Strong Buy,True,0.9545454545454546,1.0,95.45454545454545,True
2025-10-31,hybrid_return_rank_v1,1168,KOSPI200 금융,Hold,False,0.13636363636363635,10.0,13.636363636363635,True
2025-10-31,hybrid_return_rank_v1,5042,KRX 산업재,Strong Buy,True,0.8181818181818182,3.0,81.81818181818183,True
2025-10-31,hybrid_return_rank_v1,5044,KRX 반도체,Strong Buy,True,0.9545454545454546,1.0,95.45454545454545,True
2025-10-31,hybrid_return_rank_v1,5045,KRX 헬스케어,Hold,False,0.13636363636363635,10.0,13.636363636363635,True
2025-10-31,hybrid_return_rank_v1,1157,KOSPI200 생활소비재,Hold,False,0.40909090909090906,7.0,40.90909090909091,True
2025-10-31,hybrid_return_rank_v1,1165,KOSPI200 경기소비재,Hold,False,0.6818181818181819,4.0,68.18181818181819,True
2025-10-31,hybrid_return_rank_v1,1170,KOSPI200 유틸리티,Hold,False,0.6363636363636364,5.0,63.63636363636363,True
2025-10-31,hybrid_return_rank_v1,5046,KRX 미디어통신,Hold,False,0.40909090909090906,7.0,40.90909090909091,True
2025-10-31,hybrid_return_rank_v1,5048,KRX 에너지화학,Hold,False,0.45454545454545453,6.0,45.45454545454545,True
2025-10-31,hybrid_return_rank_v1,5049,KRX 철강,Hold,False,0.40909090909090906,7.0,40.90909090909091,True
2025-11-28,legacy_rs_ma_v0,1155,KOSPI200 정보기술,Strong Buy,True,,,,True
2025-11-28,legacy_rs_ma_v0,1168,KOSPI200 금융,Strong Buy,True,,,,True
2025-11-28,legacy_rs_ma_v0,5042,KRX 산업재,Hold,False,,,,True
2025-11-28,legacy_rs_ma_v0,5044,KRX 반도체,Hold,False,,,,True
2025-11-28,legacy_rs_ma_v0,5045,KRX 헬스케어,Strong Buy,True,,,,True
2025-11-28,legacy_rs_ma_v0,1157,KOSPI200 생활소비재,Strong Buy,True,,,,True
2025-11-28,legacy_rs_ma_v0,1165,KOSPI200 경기소비재,Strong Buy,True,,,,True
2025-11-28,legacy_rs_ma_v0,1170,KOSPI200 유틸리티,Strong Buy,True,,,,True
2025-11-28,legacy_rs_ma_v0,5046,KRX 미디어통신,Strong Buy,True,,,,True
2025-11-28,legacy_rs_ma_v0,5048,KRX 에너지화학,Hold,False,,,,True
2025-11-28,legacy_rs_ma_v0,5049,KRX 철강,Watch,False,,,,True
2025-11-28,hybrid_return_rank_v1,1155,KOSPI200 정보기술,Strong Buy,True,0.9545454545454546,1.0,95.45454545454545,True
2025-11-28,hybrid_return_rank_v1,1168,KOSPI200 금융,Hold,False,0.09090909090909091,11.0,9.090909090909092,True
2025-11-28,hybrid_return_rank_v1,5042,KRX 산업재,Strong Buy,True,0.8181818181818182,3.0,81.81818181818183,True
2025-11-28,hybrid_return_rank_v1,5044,KRX 반도체,Strong Buy,True,0.9545454545454546,1.0,95.45454545454545,True
2025-11-28,hybrid_return_rank_v1,5045,KRX 헬스케어,Hold,False,0.36363636363636365,9.0,36.36363636363637,True
2025-11-28,hybrid_return_rank_v1,1157,KOSPI200 생활소비재,Hold,False,0.40909090909090906,7.0,40.90909090909091,True
2025-11-28,hybrid_return_rank_v1,1165,KOSPI200 경기소비재,Hold,False,0.6363636363636364,4.0,63.63636363636363,True
2025-11-28,hybrid_return_rank_v1,1170,KOSPI200 유틸리티,Hold,False,0.5454545454545454,5.0,54.54545454545454,True
2025-11-28,hybrid_return_rank_v1,5046,KRX 미디어통신,Hold,False,0.36363636363636365,9.0,36.36363636363637,True
2025-11-28,hybrid_return_rank_v1,5048,KRX 에너지화학,Hold,False,0.40909090909090906,7.0,40.90909090909091,True
2025-11-28,hybrid_return_rank_v1,5049,KRX 철강,Hold,False,0.45454545454545453,6.0,45.45454545454545,True
2025-12-30,legacy_rs_ma_v0,1155,KOSPI200 정보기술,Strong Buy,True,,,,True
2025-12-30,legacy_rs_ma_v0,1168,KOSPI200 금융,Hold,False,,,,True
2025-12-30,legacy_rs_ma_v0,5042,KRX 산업재,Strong Buy,True,,,,True
2025-12-30,legacy_rs_ma_v0,5044,KRX 반도체,Strong Buy,True,,,,True
2025-12-30,legacy_rs_ma_v0,5045,KRX 헬스케어,Hold,False,,,,True
2025-12-30,legacy_rs_ma_v0,1157,KOSPI200 생활소비재,Hold,False,,,,True
2025-12-30,legacy_rs_ma_v0,1165,KOSPI200 경기소비재,Hold,False,,,,True
2025-12-30,legacy_rs_ma_v0,1170,KOSPI200 유틸리티,Hold,False,,,,True
2025-12-30,legacy_rs_ma_v0,5046,KRX 미디어통신,Hold,False,,,,True
2025-12-30,legacy_rs_ma_v0,5048,KRX 에너지화학,Avoid,False,,,,True
2025-12-30,legacy_rs_ma_v0,5049,KRX 철강,Hold,False,,,,True
2025-12-30,hybrid_return_rank_v1,1155,KOSPI200 정보기술,Strong Buy,True,0.9545454545454546,1.0,95.45454545454545,True
2025-12-30,hybrid_return_rank_v1,1168,KOSPI200 금융,Hold,False,0.13636363636363635,11.0,13.636363636363635,True
2025-12-30,hybrid_return_rank_v1,5042,KRX 산업재,Strong Buy,True,0.8181818181818182,3.0,81.81818181818183,True
2025-12-30,hybrid_return_rank_v1,5044,KRX 반도체,Strong Buy,True,0.9545454545454546,1.0,95.45454545454545,True
2025-12-30,hybrid_return_rank_v1,5045,KRX 헬스케어,Hold,False,0.45454545454545453,6.0,45.45454545454545,True
2025-12-30,hybrid_return_rank_v1,1157,KOSPI200 생활소비재,Hold,False,0.2727272727272727,10.0,27.27272727272727,True
2025-12-30,hybrid_return_rank_v1,1165,KOSPI200 경기소비재,Hold,False,0.7272727272727273,4.0,72.72727272727273,True
2025-12-30,hybrid_return_rank_v1,1170,KOSPI200 유틸리티,Hold,False,0.45454545454545453,6.0,45.45454545454545,True
2025-12-30,hybrid_return_rank_v1,5046,KRX 미디어통신,Hold,False,0.5,5.0,50.0,True
2025-12-30,hybrid_return_rank_v1,5048,KRX 에너지화학,Hold,False,0.36363636363636365,8.0,36.36363636363637,True
2025-12-30,hybrid_return_rank_v1,5049,KRX 철강,Hold,False,0.36363636363636365,8.0,36.36363636363637,True
2026-01-30,legacy_rs_ma_v0,1155,KOSPI200 정보기술,Strong Buy,True,,,,True
2026-01-30,legacy_rs_ma_v0,1168,KOSPI200 금융,Hold,False,,,,True
2026-01-30,legacy_rs_ma_v0,5042,KRX 산업재,Strong Buy,True,,,,True
2026-01-30,legacy_rs_ma_v0,5044,KRX 반도체,Strong Buy,True,,,,True
2026-01-30,legacy_rs_ma_v0,5045,KRX 헬스케어,Hold,False,,,,True
2026-01-30,legacy_rs_ma_v0,1157,KOSPI200 생활소비재,Hold,False,,,,True
2026-01-30,legacy_rs_ma_v0,1165,KOSPI200 경기소비재,Hold,False,,,,True
2026-01-30,legacy_rs_ma_v0,1170,KOSPI200 유틸리티,Strong Buy,True,,,,True
2026-01-30,legacy_rs_ma_v0,5046,KRX 미디어통신,Hold,False,,,,True
2026-01-30,legacy_rs_ma_v0,5048,KRX 에너지화학,Hold,False,,,,True
2026-01-30,legacy_rs_ma_v0,5049,KRX 철강,Strong Buy,True,,,,True
2026-01-30,hybrid_return_rank_v1,1155,KOSPI200 정보기술,Strong Buy,True,0.9090909090909091,2.0,90.9090909090909,True
2026-01-30,hybrid_return_rank_v1,1168,KOSPI200 금융,Hold,False,0.13636363636363635,11.0,13.636363636363635,True
2026-01-30,hybrid_return_rank_v1,5042,KRX 산업재,Strong Buy,True,0.8181818181818182,3.0,81.81818181818183,True
2026-01-30,hybrid_return_rank_v1,5044,KRX 반도체,Strong Buy,True,1.0,1.0,100.0,True
2026-01-30,hybrid_return_rank_v1,5045,KRX 헬스케어,Hold,False,0.36363636363636365,7.0,36.36363636363637,True
2026-01-30,hybrid_return_rank_v1,1157,KOSPI200 생활소비재,Hold,False,0.36363636363636365,7.0,36.36363636363637,True
2026-01-30,hybrid_return_rank_v1,1165,KOSPI200 경기소비재,Hold,False,0.7272727272727273,4.0,72.72727272727273,True
2026-01-30,hybrid_return_rank_v1,1170,KOSPI200 유틸리티,Hold,False,0.6363636363636364,5.0,63.63636363636363,True
2026-01-30,hybrid_return_rank_v1,5046,KRX 미디어통신,Hold,False,0.2272727272727273,10.0,22.72727272727273,True
2026-01-30,hybrid_return_rank_v1,5048,KRX 에너지화학,Hold,False,0.36363636363636365,7.0,36.36363636363637,True
2026-01-30,hybrid_return_rank_v1,5049,KRX 철강,Hold,False,0.45454545454545453,6.0,45.45454545454545,True
2026-02-27,legacy_rs_ma_v0,1155,KOSPI200 정보기술,Strong Buy,True,,,,True
2026-02-27,legacy_rs_ma_v0,1168,KOSPI200 금융,Hold,False,,,,True
2026-02-27,legacy_rs_ma_v0,5042,KRX 산업재,Strong Buy,True,,,,True
2026-02-27,legacy_rs_ma_v0,5044,KRX 반도체,Strong Buy,True,,,,True
2026-02-27,legacy_rs_ma_v0,5045,KRX 헬스케어,Hold,False,,,,True
2026-02-27,legacy_rs_ma_v0,1157,KOSPI200 생활소비재,Hold,False,,,,True
2026-02-27,legacy_rs_ma_v0,1165,KOSPI200 경기소비재,Strong Buy,True,,,,True
2026-02-27,legacy_rs_ma_v0,1170,KOSPI200 유틸리티,Hold,False,,,,True
2026-02-27,legacy_rs_ma_v0,5046,KRX 미디어통신,Hold,False,,,,True
2026-02-27,legacy_rs_ma_v0,5048,KRX 에너지화학,Hold,False,,,,True
2026-02-27,legacy_rs_ma_v0,5049,KRX 철강,Hold,False,,,,True
2026-02-27,hybrid_return_rank_v1,1155,KOSPI200 정보기술,Strong Buy,True,1.0,1.0,100.0,True
2026-02-27,hybrid_return_rank_v1,1168,KOSPI200 금융,Hold,False,0.18181818181818182,9.0,18.181818181818183,True
2026-02-27,hybrid_return_rank_v1,5042,KRX 산업재,Strong Buy,True,0.8181818181818182,3.0,81.81818181818183,True
2026-02-27,hybrid_return_rank_v1,5044,KRX 반도체,Strong Buy,True,0.9090909090909091,2.0,90.9090909090909,True
2026-02-27,hybrid_return_rank_v1,5045,KRX 헬스케어,Hold,False,0.18181818181818182,9.0,18.181818181818183,True
2026-02-27,hybrid_return_rank_v1,1157,KOSPI200 생활소비재,Hold,False,0.18181818181818182,9.0,18.181818181818183,True
2026-02-27,hybrid_return_rank_v1,1165,KOSPI200 경기소비재,Hold,False,0.7272727272727273,4.0,72.72727272727273,True
2026-02-27,hybrid_return_rank_v1,1170,KOSPI200 유틸리티,Hold,False,0.5454545454545454,5.0,54.54545454545454,True
2026-02-27,hybrid_return_rank_v1,5046,KRX 미디어통신,Hold,False,0.40909090909090906,8.0,40.90909090909091,True
2026-02-27,hybrid_return_rank_v1,5048,KRX 에너지화학,Hold,False,0.5,7.0,50.0,True
2026-02-27,hybrid_return_rank_v1,5049,KRX 철강,Hold,False,0.5454545454545454,5.0,54.54545454545454,True
2026-03-31,legacy_rs_ma_v0,1155,KOSPI200 정보기술,Hold,False,,,,True
2026-03-31,legacy_rs_ma_v0,1168,KOSPI200 금융,Watch,False,,,,True
2026-03-31,legacy_rs_ma_v0,5042,KRX 산업재,Hold,False,,,,True
2026-03-31,legacy_rs_ma_v0,5044,KRX 반도체,Hold,False,,,,True
2026-03-31,legacy_rs_ma_v0,5045,KRX 헬스케어,Watch,False,,,,True
2026-03-31,legacy_rs_ma_v0,1157,KOSPI200 생활소비재,Watch,False,,,,True
2026-03-31,legacy_rs_ma_v0,1165,KOSPI200 경기소비재,Hold,False,,,,True
2026-03-31,legacy_rs_ma_v0,1170,KOSPI200 유틸리티,Strong Buy,True,,,,True
2026-03-31,legacy_rs_ma_v0,5046,KRX 미디어통신,Strong Buy,True,,,,True
2026-03-31,legacy_rs_ma_v0,5048,KRX 에너지화학,Strong Buy,True,,,,True
2026-03-31,legacy_rs_ma_v0,5049,KRX 철강,Strong Buy,True,,,,True
2026-03-31,hybrid_return_rank_v1,1155,KOSPI200 정보기술,Strong Buy,True,0.9545454545454546,1.0,95.45454545454545,True
2026-03-31,hybrid_return_rank_v1,1168,KOSPI200 금융,Hold,False,0.18181818181818182,10.0,18.181818181818183,True
2026-03-31,hybrid_return_rank_v1,5042,KRX 산업재,Strong Buy,True,0.8181818181818182,3.0,81.81818181818183,True
2026-03-31,hybrid_return_rank_v1,5044,KRX 반도체,Strong Buy,True,0.9545454545454546,1.0,95.45454545454545,True
2026-03-31,hybrid_return_rank_v1,5045,KRX 헬스케어,Hold,False,0.18181818181818182,10.0,18.181818181818183,True
2026-03-31,hybrid_return_rank_v1,1157,KOSPI200 생활소비재,Hold,False,0.2727272727272727,9.0,27.27272727272727,True
2026-03-31,hybrid_return_rank_v1,1165,KOSPI200 경기소비재,Hold,False,0.7272727272727273,4.0,72.72727272727273,True
2026-03-31,hybrid_return_rank_v1,1170,KOSPI200 유틸리티,Hold,False,0.5909090909090908,5.0,59.09090909090908,True
2026-03-31,hybrid_return_rank_v1,5046,KRX 미디어통신,Hold,False,0.5909090909090908,5.0,59.09090909090908,True
2026-03-31,hybrid_return_rank_v1,5048,KRX 에너지화학,Hold,False,0.40909090909090906,7.0,40.90909090909091,True
2026-03-31,hybrid_return_rank_v1,5049,KRX 철강,Hold,False,0.3181818181818182,8.0,31.818181818181817,True
2026-04-30,legacy_rs_ma_v0,1155,KOSPI200 정보기술,Strong Buy,True,,,,True
2026-04-30,legacy_rs_ma_v0,1168,KOSPI200 금융,Avoid,False,,,,True
2026-04-30,legacy_rs_ma_v0,5042,KRX 산업재,Hold,False,,,,True
2026-04-30,legacy_rs_ma_v0,5044,KRX 반도체,Strong Buy,True,,,,True
2026-04-30,legacy_rs_ma_v0,5045,KRX 헬스케어,Avoid,False,,,,True
2026-04-30,legacy_rs_ma_v0,1157,KOSPI200 생활소비재,Hold,False,,,,True
2026-04-30,legacy_rs_ma_v0,1165,KOSPI200 경기소비재,Hold,False,,,,True
2026-04-30,legacy_rs_ma_v0,1170,KOSPI200 유틸리티,Avoid,False,,,,True
2026-04-30,legacy_rs_ma_v0,5046,KRX 미디어통신,Hold,False,,,,True
2026-04-30,legacy_rs_ma_v0,5048,KRX 에너지화학,Strong Buy,True,,,,True
2026-04-30,legacy_rs_ma_v0,5049,KRX 철강,Hold,False,,,,True
2026-04-30,hybrid_return_rank_v1,1155,KOSPI200 정보기술,Strong Buy,True,1.0,1.0,100.0,True
2026-04-30,hybrid_return_rank_v1,1168,KOSPI200 금융,Hold,False,0.18181818181818182,10.0,18.181818181818183,True
2026-04-30,hybrid_return_rank_v1,5042,KRX 산업재,Strong Buy,True,0.8181818181818182,3.0,81.81818181818183,True
2026-04-30,hybrid_return_rank_v1,5044,KRX 반도체,Strong Buy,True,0.9090909090909091,2.0,90.9090909090909,True
2026-04-30,hybrid_return_rank_v1,5045,KRX 헬스케어,Hold,False,0.09090909090909091,11.0,9.090909090909092,True
2026-04-30,hybrid_return_rank_v1,1157,KOSPI200 생활소비재,Hold,False,0.2727272727272727,9.0,27.27272727272727,True
2026-04-30,hybrid_return_rank_v1,1165,KOSPI200 경기소비재,Hold,False,0.7272727272727273,4.0,72.72727272727273,True
2026-04-30,hybrid_return_rank_v1,1170,KOSPI200 유틸리티,Hold,False,0.40909090909090906,8.0,40.90909090909091,True
2026-04-30,hybrid_return_rank_v1,5046,KRX 미디어통신,Hold,False,0.45454545454545453,7.0,45.45454545454545,True
2026-04-30,hybrid_return_rank_v1,5048,KRX 에너지화학,Hold,False,0.5454545454545454,6.0,54.54545454545454,True
2026-04-30,hybrid_return_rank_v1,5049,KRX 철강,Hold,False,0.5909090909090908,5.0,59.09090909090908,True
2026-05-15,legacy_rs_ma_v0,1155,KOSPI200 정보기술,Strong Buy,True,,,,True
2026-05-15,legacy_rs_ma_v0,1168,KOSPI200 금융,Avoid,False,,,,True
2026-05-15,legacy_rs_ma_v0,5042,KRX 산업재,Hold,False,,,,True
2026-05-15,legacy_rs_ma_v0,5044,KRX 반도체,Strong Buy,True,,,,True
2026-05-15,legacy_rs_ma_v0,5045,KRX 헬스케어,Avoid,False,,,,True
2026-05-15,legacy_rs_ma_v0,1157,KOSPI200 생활소비재,Hold,False,,,,True
2026-05-15,legacy_rs_ma_v0,1165,KOSPI200 경기소비재,Hold,False,,,,True
2026-05-15,legacy_rs_ma_v0,1170,KOSPI200 유틸리티,Avoid,False,,,,True
2026-05-15,legacy_rs_ma_v0,5046,KRX 미디어통신,Hold,False,,,,True
2026-05-15,legacy_rs_ma_v0,5048,KRX 에너지화학,Hold,False,,,,True
2026-05-15,legacy_rs_ma_v0,5049,KRX 철강,Hold,False,,,,True
2026-05-15,hybrid_return_rank_v1,1155,KOSPI200 정보기술,Strong Buy,True,1.0,1.0,100.0,True
2026-05-15,hybrid_return_rank_v1,1168,KOSPI200 금융,Hold,False,0.3181818181818182,9.0,31.818181818181817,True
2026-05-15,hybrid_return_rank_v1,5042,KRX 산업재,Strong Buy,True,0.8181818181818182,3.0,81.81818181818183,True
2026-05-15,hybrid_return_rank_v1,5044,KRX 반도체,Strong Buy,True,0.9090909090909091,2.0,90.9090909090909,True
2026-05-15,hybrid_return_rank_v1,5045,KRX 헬스케어,Avoid,False,0.09090909090909091,11.0,9.090909090909092,True
2026-05-15,hybrid_return_rank_v1,1157,KOSPI200 생활소비재,Hold,False,0.36363636363636365,7.0,36.36363636363637,True
2026-05-15,hybrid_return_rank_v1,1165,KOSPI200 경기소비재,Hold,False,0.7272727272727273,4.0,72.72727272727273,True
2026-05-15,hybrid_return_rank_v1,1170,KOSPI200 유틸리티,Hold,False,0.6363636363636364,5.0,63.63636363636363,True
2026-05-15,hybrid_return_rank_v1,5046,KRX 미디어통신,Hold,False,0.22727272727272727,10.0,22.727272727272727,True
2026-05-15,hybrid_return_rank_v1,5048,KRX 에너지화학,Hold,False,0.36363636363636365,7.0,36.36363636363637,True
2026-05-15,hybrid_return_rank_v1,5049,KRX 철강,Hold,False,0.5454545454545454,6.0,54.54545454545454,True
